Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '19226.61', '0.05000000']],2023-01-13T15:27:42.205629Z
l2update,BTC-USD,[['sell', '19229.65', '0.12902018']],2023-01-13T15:27:42.205641Z
l2update,BTC-USD,[['sell', '19228.13', '0.04447829']],2023-01-13T15:27:42.205678Z
l2update,BTC-USD,[['sell', '19226.62', '0.00000000']],2023-01-13T15:27:42.208347Z
l2update,BTC-USD,[['buy', '19223.38', '0.03324984']],2023-01-13T15:27:42.209657Z
l2update,BTC-USD,[['buy', '19223.62', '0.04103349']],2023-01-13T15:27:42.209679Z
l2update,BTC-USD,[['buy', '19223.62', '0.05330858']],2023-01-13T15:27:42.209710Z
l2update,BTC-USD,[['sell', '19226.61', '1.76300315']],2023-01-13T15:27:42.209755Z
l2update,BTC-USD,[['buy', '19224.29', '0.00000000']],2023-01-13T15:27:42.211036Z
l2update,BTC-USD,[['buy', '19223.08', '0.00000000']],2023-01-13T15:27:42.211914Z
l2update,BTC-USD,[['buy', '19223.62', '0.01627509']],2023-01-13T15:27:42.212315Z
l2update,BTC-USD,[['sell', '19435.95', '0.00026009']],2023-01-13T15:27:42.213825Z
l2update,BTC-USD,[['buy', '19223.05', '0.00000000']],2023-01-13T15:27:42.215863Z
l2update,BTC-USD,[['buy', '19223.64', '0.03921959']],2023-01-13T15:27:42.217757Z
l2update,BTC-USD,[['buy', '19224.30', '0.01227509']],2023-01-13T15:27:42.218045Z
l2update,BTC-USD,[['buy', '19223.10', '0.03498877']],2023-01-13T15:27:42.218083Z
l2update,BTC-USD,[['sell', '19230.88', '0.94833364']],2023-01-13T15:27:42.218118Z
l2update,BTC-USD,[['buy', '19222.53', '0.00000000']],2023-01-13T15:27:42.219945Z
l2update,BTC-USD,[['buy', '19223.62', '0.01227509']],2023-01-13T15:27:42.220346Z
l2update,BTC-USD,[['buy', '19223.58', '0.00000000']],2023-01-13T15:27:42.221348Z
l2update,BTC-USD,[['buy', '19223.64', '0.00000000']],2023-01-13T15:27:42.221535Z
l2update,BTC-USD,[['sell', '19226.60', '0.21000000']],2023-01-13T15:27:42.222104Z
l2update,BTC-USD,[['buy', '19223.13', '0.13230658']],2023-01-13T15:27:42.222190Z
l2update,BTC-USD,[['buy', '19223.13', '0.00000000']],2023-01-13T15:27:42.224646Z
l2update,BTC-USD,[['sell', '19248.86', '0.04000000']],2023-01-13T15:27:42.225703Z
l2update,BTC-USD,[['buy', '19221.28', '0.02600766']],2023-01-13T15:27:42.225870Z
l2update,BTC-USD,[['buy', '19223.61', '0.04901466']],2023-01-13T15:27:42.225937Z
l2update,BTC-USD,[['buy', '19223.39', '0.02000000']],2023-01-13T15:27:42.225961Z
l2update,BTC-USD,[['sell', '19226.61', '1.72300315']],2023-01-13T15:27:42.228121Z
l2update,BTC-USD,[['buy', '19223.61', '0.00000000']],2023-01-13T15:27:42.228743Z
l2update,BTC-USD,[['buy', '19223.61', '0.00400000']],2023-01-13T15:27:42.229873Z
l2update,BTC-USD,[['sell', '19227.97', '0.02600753']],2023-01-13T15:27:42.229898Z
l2update,BTC-USD,[['buy', '19202.05', '0.16000000']],2023-01-13T15:27:42.229971Z
l2update,BTC-USD,[['buy', '19223.39', '0.00000000']],2023-01-13T15:27:42.231376Z
l2update,BTC-USD,[['buy', '19223.10', '0.00000000']],2023-01-13T15:27:42.231487Z
l2update,BTC-USD,[['buy', '19223.33', '0.02000000']],2023-01-13T15:27:42.237583Z
l2update,BTC-USD,[['sell', '19226.60', '0.25000000']],2023-01-13T15:27:42.237601Z
l2update,BTC-USD,[['buy', '19220.97', '0.13230658']],2023-01-13T15:27:42.237675Z
l2update,BTC-USD,[['buy', '19223.38', '0.00000000']],2023-01-13T15:27:42.239352Z
l2update,BTC-USD,[['buy', '19223.32', '0.00000000']],2023-01-13T15:27:42.239636Z
l2update,BTC-USD,[['sell', '19226.63', '0.02000000']],2023-01-13T15:27:42.242127Z
l2update,BTC-USD,[['buy', '19222.60', '0.07839309']],2023-01-13T15:27:42.245687Z
l2update,BTC-USD,[['buy', '19220.16', '0.11488267']],2023-01-13T15:27:42.245851Z
l2update,BTC-USD,[['buy', '19223.33', '0.00000000']],2023-01-13T15:27:42.246187Z
l2update,BTC-USD,[['buy', '19222.60', '0.10440087']],2023-01-13T15:27:42.249794Z
l2update,BTC-USD,[['buy', '19223.13', '0.02000000']],2023-01-13T15:27:42.249918Z
l2update,BTC-USD,[['buy', '19223.60', '0.01500000']],2023-01-13T15:27:42.257985Z
l2update,BTC-USD,[['buy', '19223.12', '0.00000000']],2023-01-13T15:27:42.259624Z
l2update,BTC-USD,[['buy', '19223.06', '0.00000000']],2023-01-13T15:27:42.259624Z
l2update,BTC-USD,[['buy', '19222.60', '0.07839309']],2023-01-13T15:27:42.265567Z
l2update,BTC-USD,[['buy', '19222.64', '0.04073881']],2023-01-13T15:27:42.265598Z
l2update,BTC-USD,[['buy', '19222.60', '0.05238533']],2023-01-13T15:27:42.265663Z
l2update,BTC-USD,[['sell', '19229.66', '0.94205325']],2023-01-13T15:27:42.269398Z
l2update,BTC-USD,[['sell', '19226.59', '0.00053082']],2023-01-13T15:27:42.269417Z
l2update,BTC-USD,[['buy', '19223.13', '0.00000000']],2023-01-13T15:27:42.271063Z
