Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['buy', '18209.15', '0.04921688']],2023-01-12T04:39:05.959256Z
l2update,BTC-USD,[['sell', '18211.62', '0.04000000']],2023-01-12T04:39:05.964167Z
l2update,BTC-USD,[['buy', '18210.04', '0.37416006']],2023-01-12T04:39:05.965109Z
l2update,BTC-USD,[['buy', '18205.68', '0.54918610']],2023-01-12T04:39:06.002437Z
l2update,BTC-USD,[['buy', '18203.59', '0.77666642']],2023-01-12T04:39:06.002437Z
l2update,BTC-USD,[['buy', '18201.50', '1.09837220']],2023-01-12T04:39:06.002437Z
l2update,BTC-USD,[['buy', '18199.41', '1.55333286']],2023-01-12T04:39:06.002437Z
l2update,BTC-USD,[['sell', '18210.96', '0.05400000']],2023-01-12T04:39:06.019032Z
l2update,BTC-USD,[['sell', '18210.92', '0.02000000']],2023-01-12T04:39:06.026553Z
l2update,BTC-USD,[['buy', '18209.15', '0.00000000']],2023-01-12T04:39:06.027020Z
l2update,BTC-USD,[['sell', '18210.96', '0.05000000']],2023-01-12T04:39:06.040452Z
l2update,BTC-USD,[['sell', '18210.92', '0.00000000']],2023-01-12T04:39:06.040697Z
l2update,BTC-USD,[['buy', '18210.04', '0.38902663']],2023-01-12T04:39:06.042148Z
l2update,BTC-USD,[['sell', '18210.05', '0.04006042']],2023-01-12T04:39:06.046603Z
l2update,BTC-USD,[['sell', '18210.93', '0.00000000']],2023-01-12T04:39:06.050110Z
l2update,BTC-USD,[['buy', '18210.04', '0.41902663']],2023-01-12T04:39:06.051524Z
l2update,BTC-USD,[['sell', '18210.05', '0.04406042']],2023-01-12T04:39:06.051534Z
l2update,BTC-USD,[['sell', '18210.05', '0.05406042']],2023-01-12T04:39:06.051561Z
l2update,BTC-USD,[['sell', '18210.96', '0.00000000']],2023-01-12T04:39:06.051724Z
l2update,BTC-USD,[['buy', '18210.04', '0.38902663']],2023-01-12T04:39:06.054112Z
l2update,BTC-USD,[['buy', '18210.04', '0.35902663']],2023-01-12T04:39:06.056456Z
l2update,BTC-USD,[['sell', '18210.05', '0.04406042']],2023-01-12T04:39:06.056714Z
l2update,BTC-USD,[['sell', '18210.92', '0.05000000']],2023-01-12T04:39:06.057496Z
l2update,BTC-USD,[['sell', '18210.91', '0.02000000']],2023-01-12T04:39:06.057593Z
l2update,BTC-USD,[['sell', '18211.18', '0.05491405']],2023-01-12T04:39:06.062193Z
l2update,BTC-USD,[['sell', '18210.05', '0.09107042']],2023-01-12T04:39:06.062385Z
l2update,BTC-USD,[['sell', '18210.91', '0.00000000']],2023-01-12T04:39:06.063772Z
l2update,BTC-USD,[['sell', '18210.05', '0.04406042']],2023-01-12T04:39:06.065630Z
l2update,BTC-USD,[['sell', '18210.94', '0.01000000']],2023-01-12T04:39:06.066032Z
