ticker,53023190961,BTC-USD,18139.41,17449.43,37299.45844959,17315.08,18375.68,636166.85505843,18139.41,0.00000068,18139.42,0.05000000,sell,2023-01-12T08:56:38.024145Z,482016670,0.00285711,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190968,BTC-USD,18139.41,17449.43,37299.45845027,17315.08,18375.68,636166.85505911,18139.40,0.00424880,18139.42,0.05000000,sell,2023-01-12T08:56:38.024317Z,482016671,0.00000068,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023190970,BTC-USD,18139.4,17449.43,37299.46268959,17315.08,18375.68,636166.85929843,18139.40,0.00000948,18139.42,0.05000000,sell,2023-01-12T08:56:38.024317Z,482016672,0.00423932,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191041,BTC-USD,18139.41,17449.43,37299.46278959,17315.08,18375.68,636166.85939843,18139.41,0.00990000,18139.42,0.08000000,sell,2023-01-12T08:56:38.043515Z,482016673,0.0001,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191063,BTC-USD,18139.41,17449.43,37299.47268959,17315.08,18375.68,636166.86929843,18139.40,0.00000948,18139.42,0.05400000,sell,2023-01-12T08:56:38.056340Z,482016674,0.0099,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191079,BTC-USD,18139.4,17449.43,37299.47269907,17315.08,18375.68,636166.86930791,18138.18,0.00400000,18139.42,0.05400000,sell,2023-01-12T08:56:38.062693Z,482016675,0.00000948,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191229,BTC-USD,18139.41,17449.43,37299.48269907,17315.08,18375.68,636166.87930791,18139.40,0.00424274,18139.42,0.01000000,sell,2023-01-12T08:56:38.236960Z,482016676,0.01,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191298,BTC-USD,18139.41,17449.43,37299.52269907,17315.08,18375.68,636166.91930791,18139.40,0.00424274,18139.41,0.01681397,buy,2023-01-12T08:56:38.377766Z,482016677,0.04,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191300,BTC-USD,18139.41,17449.43,37299.53951304,17315.08,18375.68,636166.93612188,18139.40,0.00424274,18139.42,0.03000000,buy,2023-01-12T08:56:38.377766Z,482016678,0.01681397,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191302,BTC-USD,18139.42,17449.43,37299.56951304,17315.08,18375.68,636166.96612188,18139.40,0.00424274,18139.68,0.00400000,buy,2023-01-12T08:56:38.377766Z,482016679,0.03,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191304,BTC-USD,18139.68,17449.43,37299.57351304,17315.08,18375.68,636166.97012188,18139.40,0.00424274,18139.69,0.20000000,buy,2023-01-12T08:56:38.377766Z,482016680,0.004,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191306,BTC-USD,18139.69,17449.43,37299.77351304,17315.08,18375.68,636167.17012188,18139.40,0.00424274,18139.71,0.08000000,buy,2023-01-12T08:56:38.377766Z,482016681,0.2,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191308,BTC-USD,18139.71,17449.43,37299.85351304,17315.08,18375.68,636167.25012188,18139.40,0.00424274,18139.88,0.27563580,buy,2023-01-12T08:56:38.377766Z,482016682,0.08,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191310,BTC-USD,18139.88,17449.43,37300.12914884,17315.08,18375.68,636167.52575768,18139.40,0.00424274,18140.09,0.16000000,buy,2023-01-12T08:56:38.377766Z,482016683,0.2756358,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191312,BTC-USD,18140.09,17449.43,37300.28914884,17315.08,18375.68,636167.68575768,18139.40,0.00424274,18140.56,0.14024193,buy,2023-01-12T08:56:38.377766Z,482016684,0.16,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
