Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '21248.03', '0.00000000']],2023-01-17T16:36:25.149252Z
l2update,BTC-USD,[['buy', '21117.63', '0.00000000']],2023-01-17T16:36:25.151711Z
l2update,BTC-USD,[['sell', '21239.23', '0.00000000']],2023-01-17T16:36:25.153929Z
l2update,BTC-USD,[['sell', '21230.91', '0.00000000']],2023-01-17T16:36:25.156182Z
l2update,BTC-USD,[['sell', '21223.06', '0.00000000']],2023-01-17T16:36:25.159311Z
l2update,BTC-USD,[['buy', '21126.86', '0.00000000']],2023-01-17T16:36:25.161588Z
l2update,BTC-USD,[['sell', '21218.09', '0.08255496']],2023-01-17T16:36:25.163761Z
l2update,BTC-USD,[['sell', '21165.06', '0.02378528']],2023-01-17T16:36:25.165813Z
l2update,BTC-USD,[['sell', '21165.06', '0.00000000']],2023-01-17T16:36:25.166020Z
l2update,BTC-USD,[['sell', '21202.35', '0.00000000']],2023-01-17T16:36:25.166028Z
l2update,BTC-USD,[['sell', '21165.07', '0.07937525']],2023-01-17T16:36:25.176816Z
l2update,BTC-USD,[['sell', '21165.07', '0.09126789']],2023-01-17T16:36:25.176871Z
l2update,BTC-USD,[['sell', '21277.28', '0.06509849']],2023-01-17T16:36:25.184731Z
l2update,BTC-USD,[['sell', '21198.32', '0.11239887']],2023-01-17T16:36:25.184731Z
l2update,BTC-USD,[['buy', '21070.34', '0.07811819']],2023-01-17T16:36:25.184731Z
l2update,BTC-USD,[['buy', '21154.14', '0.00000000']],2023-01-17T16:36:25.202322Z
l2update,BTC-USD,[['buy', '21148.84', '0.00000000']],2023-01-17T16:36:25.202322Z
l2update,BTC-USD,[['buy', '21143.54', '0.00000000']],2023-01-17T16:36:25.202322Z
l2update,BTC-USD,[['buy', '21138.24', '0.00000000']],2023-01-17T16:36:25.202322Z
l2update,BTC-USD,[['sell', '21164.36', '0.60716075']],2023-01-17T16:36:25.203747Z
l2update,BTC-USD,[['buy', '21159.78', '0.10632164']],2023-01-17T16:36:25.203886Z
l2update,BTC-USD,[['sell', '21257.30', '0.07813431']],2023-01-17T16:36:25.208449Z
l2update,BTC-USD,[['buy', '21101.22', '0.07813431']],2023-01-17T16:36:25.208449Z
l2update,BTC-USD,[['sell', '21218.09', '0.00000000']],2023-01-17T16:36:25.211105Z
l2update,BTC-USD,[['sell', '21164.76', '0.09450997']],2023-01-17T16:36:25.212109Z
l2update,BTC-USD,[['buy', '21160.37', '0.02362749']],2023-01-17T16:36:25.212172Z
l2update,BTC-USD,[['buy', '21160.37', '0.00000000']],2023-01-17T16:36:25.214716Z
l2update,BTC-USD,[['sell', '21162.52', '0.00400000']],2023-01-17T16:36:25.214916Z
l2update,BTC-USD,[['sell', '21164.76', '0.00000000']],2023-01-17T16:36:25.216330Z
l2update,BTC-USD,[['sell', '21165.07', '0.04632236']],2023-01-17T16:36:25.216682Z
l2update,BTC-USD,[['sell', '21165.07', '0.04539826']],2023-01-17T16:36:25.216692Z
l2update,BTC-USD,[['sell', '21165.07', '0.03350562']],2023-01-17T16:36:25.216811Z
l2update,BTC-USD,[['buy', '21158.61', '0.00260813']],2023-01-17T16:36:25.216819Z
l2update,BTC-USD,[['sell', '21165.07', '0.00000000']],2023-01-17T16:36:25.216951Z
l2update,BTC-USD,[['buy', '21158.61', '0.00096843']],2023-01-17T16:36:25.219276Z
l2update,BTC-USD,[['buy', '21158.61', '0.00027651']],2023-01-17T16:36:25.219431Z
l2update,BTC-USD,[['sell', '21220.55', '0.10860488']],2023-01-17T16:36:25.220380Z
l2update,BTC-USD,[['sell', '21200.31', '0.08255496']],2023-01-17T16:36:25.220380Z
l2update,BTC-USD,[['buy', '21110.90', '0.10860488']],2023-01-17T16:36:25.220380Z
l2update,BTC-USD,[['buy', '21158.76', '0.00028134']],2023-01-17T16:36:25.224786Z
l2update,BTC-USD,[['sell', '21165.10', '0.04563395']],2023-01-17T16:36:25.224902Z
l2update,BTC-USD,[['sell', '21165.11', '0.02281697']],2023-01-17T16:36:25.224916Z
l2update,BTC-USD,[['buy', '21158.75', '0.00056269']],2023-01-17T16:36:25.224933Z
l2update,BTC-USD,[['sell', '21162.52', '0.00800000']],2023-01-17T16:36:25.224944Z
l2update,BTC-USD,[['sell', '21164.75', '0.09450993']],2023-01-17T16:36:25.224952Z
l2update,BTC-USD,[['sell', '21165.12', '0.01140849']],2023-01-17T16:36:25.225001Z
